Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
6378886,46363,Anthony Johnson,Jack53@gmail.com,700-972-8760,249 Schultz Trafficway Suite 130,Munich,Bavaria,76030,Germany,19,Male,Medium,New,25-10-2023,2023,October,,8,10.15607997,81.24863975,Electronics,Sony,Smartphone,Average,Same-Day,Credit Card,Delivered,2.0,OnePlus
6050443,10141,Lee Burton,Antonio75@gmail.com,304-341-0986,2546 Paul Orchard,Hamburg,Hamburg,53098,Germany,19,Female,Medium,New,22-08-2023,2023,August,,10,363.9042243,3639.042243,Clothing,Nike,T-shirt,Bad,Express,Debit Card,Delivered,1.0,Graphic tee
2901792,75014,Kayla Jensen MD,Toni48@gmail.com,193-680-3074,547 Charles Ways Suite 797,Berlin,Berlin,85954,Germany,19,Male,Medium,New,12-03-2023,2023,March,,4,49.52341024,198.093641,Home Decor,Home Depot,Tools,Average,Same-Day,PayPal,Delivered,2.0,Drill
1141688,53785,Anthony Elliott,Jessica42@gmail.com,355-467-5330,6370 Palmer Avenue,Frankfurt,Hesse,17798,Germany,19,Female,Medium,New,02-03-2023,2023,March,,5,275.6828952,1378.414476,Grocery,Coca-Cola,Water,Excellent,Standard,Debit Card,Delivered,5.0,Spring water
1039108,92259,Melissa Avery,Lisa7@gmail.com,246-495-3740,46006 Orr Plaza Suite 207,Bochum,North Rhine-Westphalia,68736,Germany,19,Female,Medium,New,05-07-2023,2023,July,,10,41.67431636,416.7431636,Books,Penguin Books,Fiction,Average,Express,Debit Card,Delivered,2.0,Romance
1446933,61723,Jeffrey Simmons,Jason95@gmail.com,188-510-9577,25992 Sally Vista,Münster,North Rhine-Westphalia,33371,Germany,19,Male,Medium,New,19-03-2023,2023,March,,2,480.3395252,960.6790505,Grocery,Coca-Cola,Soft Drink,Excellent,Standard,PayPal,Delivered,4.0,Ginger ale
6281872,69594,Natalie Foster,Brian65@gmail.com,831-993-7755,4123 Briggs Port Suite 000,Bonn,North Rhine-Westphalia,79566,Germany,19,Male,Medium,New,05-09-2023,2023,September,,2,256.0266905,512.053381,Grocery,Nestle,Snacks,Bad,Same-Day,Credit Card,Delivered,1.0,Chips
1195883,46299,David Kerr,Amy81@gmail.com,468-763-1915,54832 Victoria River Suite 816,Cologne,North Rhine-Westphalia,89105,Germany,19,Male,Medium,New,20-06-2023,2023,June,,10,12.24412811,122.4412811,Books,Penguin Books,Fiction,Bad,Standard,Credit Card,Delivered,1.0,Thriller
2938285,83453,Erik Fox,Lisa36@gmail.com,817-886-9120,8374 Woods Way,Hamburg,Hamburg,20815,Germany,19,Male,Medium,New,29-10-2023,2023,October,,8,93.74893426,749.9914741,Home Decor,IKEA,Decorations,Excellent,Same-Day,Credit Card,Delivered,4.0,Clocks
8064518,38990,Susan Booth,Pamela87@gmail.com,794-418-8271,6543 Crawford Dale Apt. 357,Leipzig,Saxony,76610,Germany,19,Female,Medium,New,11-03-2023,2023,March,,2,287.9173278,575.8346557,Home Decor,Bed Bath & Beyond,Bedding,Bad,Same-Day,PayPal,Delivered,1.0,Pillowcase set
3738002,39843,Cindy Dickerson,Craig30@gmail.com,634-719-1070,420 Vincent Tunnel Apt. 530,Frankfurt,Hesse,7411,Germany,19,Female,Medium,New,04-02-2024,2024,February,,8,288.7251263,2309.80101,Home Decor,IKEA,Lighting,Average,Same-Day,Cash,Delivered,2.0,Under cabinet lighting
5771599,26011,Veronica Miller,David17@gmail.com,892-334-3110,149 Chris Forges Suite 758,Hanover,Lower Saxony,97877,Germany,19,Male,Medium,New,22-07-2023,2023,July,,10,458.2422506,4582.422506,Home Decor,IKEA,Lighting,Bad,Same-Day,Debit Card,Delivered,1.0,Ceiling lights
9832012,75747,Michael Rodriguez,Eric32@gmail.com,364-287-2036,6518 Zachary Valley Apt. 722,Nuremberg,Bavaria,11265,Germany,19,Female,Medium,New,25-04-2023,2023,April,,10,459.2105905,4592.105905,Electronics,Apple,Laptop,Bad,Same-Day,Cash,Delivered,1.0,Dell XPS
5308047,59620,Nancy Baker,John100@gmail.com,851-485-7517,438 Stevenson Squares Suite 405,Hanover,Lower Saxony,49331,Germany,19,Male,Medium,New,24-12-2023,2023,December,,10,451.6580365,4516.580365,Clothing,Zara,Shirt,Bad,Express,Cash,Delivered,1.0,Flannel shirt
5735912,35493,Kristen Smith,Phillip39@gmail.com,420-960-9688,8399 Johnson Shoals,Duisburg,North Rhine-Westphalia,30501,Germany,19,Female,Medium,New,22-04-2023,2023,April,,10,243.4266015,2434.266015,Grocery,Coca-Cola,Juice,Excellent,Standard,Debit Card,Delivered,4.0,Cranberry juice
4615880,83587,Mr. David Porter MD,Antonio70@gmail.com,701-828-9085,9147 Sanchez Locks Suite 966,Hanover,Lower Saxony,40058,Germany,19,Female,Medium,New,05-10-2023,2023,October,,2,261.0268054,522.0536108,Home Decor,IKEA,Decorations,Excellent,Same-Day,Debit Card,Delivered,4.0,Mirrors
9366519,89123,Paul Cummings,Madison1@gmail.com,672-366-0660,23120 Fuentes Forge Suite 839,Bochum,North Rhine-Westphalia,87124,Germany,19,Female,Medium,New,28-05-2023,2023,May,,9,371.7363921,3345.627529,Electronics,Samsung,Smartphone,Excellent,Same-Day,PayPal,Delivered,4.0,Huawei P
8686902,28869,Mr. Richard Bates,Casey29@gmail.com,242-468-6385,34875 Tracy Green,Bremen,Bremen,67178,Germany,19,Female,Medium,New,13-10-2023,2023,,,6,67.42130823,404.5278494,Electronics,Apple,Smartphone,Bad,Same-Day,Cash,Delivered,1.0,Sony Xperia
2127128,19784,Kimberly Dean,Teresa18@gmail.com,113-413-8128,584 Courtney Falls Suite 579,Duisburg,North Rhine-Westphalia,61184,Germany,19,Female,Medium,New,30-04-2023,2023,April,,7,127.7561617,894.2931321,Grocery,Coca-Cola,Juice,Average,Express,Cash,Delivered,2.0,Pomegranate juice
4298740,20573,Melissa Patrick,Dorothy24@gmail.com,765-806-8558,8266 Brown Hill Apt. 190,Duisburg,North Rhine-Westphalia,47542,Germany,19,Female,Medium,New,25-05-2023,2023,May,,3,123.7680805,371.3042415,Clothing,Adidas,Jacket,Good,Express,Credit Card,Delivered,4.0,Windbreaker
1867201,59822,Leslie Lamb,Stephen51@gmail.com,987-955-0400,6753 Joshua Grove,Düsseldorf,North Rhine-Westphalia,56094,Germany,19,Female,Medium,New,08-11-2023,2023,November,,4,133.1663533,532.665413,Home Decor,Home Depot,Furniture,Bad,Express,Credit Card,Delivered,1.0,Desk
1664113,47548,Dennis Gardner,Michelle25@gmail.com,552-330-0827,8673 Evans Expressway,Essen,North Rhine-Westphalia,7289,Germany,19,Female,Medium,New,12-09-2023,2023,September,,7,290.0379022,2030.265315,Books,Random House,Literature,Bad,Same-Day,Cash,Delivered,1.0,Modern literature
3326007,90034,Robert Anderson,Jason45@gmail.com,394-274-4132,9490 Kelsey Park Apt. 770,Cologne,North Rhine-Westphalia,59483,Germany,19,Female,Medium,New,03-05-2023,2023,May,,8,187.0467318,1496.373854,Clothing,Nike,Shoes,Average,Same-Day,PayPal,Delivered,2.0,Sneakers
8488102,66355,Garrett Kelly,Katie16@gmail.com,367-203-7905,682 Donna Springs,Bielefeld,North Rhine-Westphalia,91493,Germany,19,Female,Medium,New,30-09-2023,2023,September,,5,288.7222405,1443.611202,Grocery,Coca-Cola,Water,Excellent,Standard,Debit Card,Delivered,5.0,Coconut water
4748281,61696,Lisa Jacobson,Angela80@gmail.com,114-136-1750,96378 Lam Drives,Duisburg,North Rhine-Westphalia,44608,Germany,19,Female,Medium,New,26-09-2023,2023,September,,5,42.06853122,210.3426561,Home Decor,Home Depot,Tools,Excellent,Same-Day,Cash,Delivered,4.0,Caulking gun
7764326,52070,Troy Rodriguez,Jennifer64@gmail.com,864-262-1334,521 Andrea Causeway Apt. 232,Bielefeld,North Rhine-Westphalia,20226,Germany,19,Female,Medium,New,21-09-2023,2023,September,,9,487.268872,4385.419848,Home Decor,Home Depot,Tools,Excellent,Standard,Debit Card,Delivered,4.0,Wrench
4009379,34764,John Choi,Jeffrey9@gmail.com,831-661-5316,93836 Mullins Ports Apt. 665,Berlin,Berlin,87993,Germany,19,Male,Medium,New,09-04-2023,2023,April,,7,71.22824535,498.5977175,Clothing,Nike,Shoes,Average,Express,PayPal,Delivered,2.0,Sneakers
8620829,52850,Dana Oconnor,Joanna37@gmail.com,829-337-8598,18092 James Brooks,Leipzig,Saxony,94390,Germany,19,Male,Medium,New,16-09-2023,2023,September,,5,488.9194353,2444.597176,Grocery,Coca-Cola,Soft Drink,Good,Same-Day,Debit Card,Delivered,4.0,Energy drink
5012841,87314,Tanya Thomas,Connor30@gmail.com,375-687-6702,04412 Davis Fork,Münster,North Rhine-Westphalia,32809,Germany,41,Female,Low,New,16-05-2023,2023,May,,6,399.7997832,2398.798699,Grocery,Coca-Cola,Water,Good,Express,PayPal,Delivered,3.0,Spring water
9034562,60329,Neil Bowers,Sean50@gmail.com,667-413-1262,754 Christine Point Suite 182,Bonn,North Rhine-Westphalia,72154,Germany,39,Male,Low,New,20-01-2024,2024,January,,1,336.7054131,336.7054131,Home Decor,Home Depot,Tools,Good,Standard,Debit Card,Delivered,3.0,Screwdriver set
9362010,24001,Lisa Schmidt,Francis38@gmail.com,607-045-5803,76943 Fisher Track,Frankfurt,Hesse,29289,Germany,36,Female,Low,New,30-04-2023,2023,April,,2,298.9912264,597.9824527,Home Decor,Bed Bath & Beyond,Bathroom,Bad,Standard,Cash,Delivered,1.0,Toilet
2131714,95946,Anthony Phillips,Charles51@gmail.com,874-504-1092,94962 Thomas Mission,Frankfurt,Hesse,28155,Germany,23,Male,Low,New,14-02-2024,2024,February,,2,121.0971502,242.1943003,Books,Penguin Books,Non-Fiction,Good,Same-Day,Cash,Delivered,3.0,Health
7874652,65621,Traci Ochoa,Matthew65@gmail.com,371-556-5861,01039 Chaney Fall,Frankfurt,Hesse,45813,Germany,64,Female,Low,New,24-06-2023,2023,June,,9,294.2397861,2648.158075,Clothing,Nike,Shorts,Average,Same-Day,Cash,Delivered,2.0,Skorts
4602805,51796,Anne Jordan,Stacey23@gmail.com,197-517-0832,86276 Shelton Curve,Frankfurt,Hesse,8286,Germany,51,Female,Low,New,12-08-2023,2023,August,,7,323.3133889,2263.193722,Electronics,Sony,Smartphone,Excellent,Same-Day,Credit Card,Delivered,5.0,Google Pixel
2858493,32559,Jessica Coleman,April15@gmail.com,950-718-1337,9636 Tucker Village,Frankfurt,Hesse,42688,Germany,58,Male,Low,New,10-09-2023,2023,September,,2,160.5590166,321.1180331,Home Decor,Bed Bath & Beyond,Kitchen,Bad,Same-Day,Credit Card,Delivered,1.0,Electric kettle
6027303,44625,William Duarte,Autumn72@gmail.com,740-125-5778,3936 Curry Fall,Frankfurt,Hesse,94948,Germany,23,Male,Low,New,30-08-2023,2023,August,,3,111.4415232,334.3245695,Books,HarperCollins,Fiction,Good,Express,Debit Card,Delivered,3.0,Historical fiction
4781412,33981,Christian Campbell,Elizabeth23@gmail.com,351-277-6779,03647 Thomas Dam Apt. 702,Frankfurt,Hesse,35326,Germany,35,Male,Low,New,16-12-2023,2023,December,,9,109.4921489,985.4293402,Grocery,Pepsi,Water,Average,Same-Day,Debit Card,Delivered,2.0,Purified water
9608961,17456,Maria Alvarado,Susan64@gmail.com,869-904-7400,4109 Matthew Creek,Frankfurt,Hesse,43640,Germany,52,Male,Low,New,04-10-2023,2023,October,,2,131.5818059,263.1636119,Electronics,Apple,Laptop,Excellent,Same-Day,PayPal,Delivered,5.0,Razer Blade
8236045,57983,Gerald Meyer,Jennifer46@gmail.com,145-896-5510,74605 Shawn Lake Apt. 813,Frankfurt,Hesse,29570,Germany,70,Female,Low,New,16-12-2023,2023,December,,8,188.4293466,1507.434773,Home Decor,Bed Bath & Beyond,Bedding,Good,Express,Credit Card,Delivered,3.0,Blanket
2956326,38559,Jody Reid,Paula59@gmail.com,786-183-1226,945 Moore Pike Apt. 692,Frankfurt,Hesse,66227,Germany,58,Female,Low,New,03-02-2024,2024,February,,9,431.7975966,3886.178369,Grocery,Nestle,Snacks,Bad,Same-Day,Debit Card,Delivered,1.0,Granola bars
7213118,98929,Matthew Lloyd,Daniel27@gmail.com,477-141-6848,782 Price Walks Suite 024,Frankfurt,Hesse,54155,Germany,66,Female,Low,New,23-10-2023,2023,October,,6,305.8873764,1835.324258,Home Decor,IKEA,Furniture,Good,Standard,Credit Card,Delivered,3.0,Wardrobe
4072447,17313,Donald Smith,Michelle39@gmail.com,370-763-6694,87144 Robert Lights,Frankfurt,Hesse,33990,Germany,70,Male,Low,New,28-08-2023,2023,August,,1,106.3443789,106.3443789,Grocery,Coca-Cola,Soft Drink,Good,Same-Day,Debit Card,Delivered,4.0,Orange soda
4308953,77824,Robert Chang,Tracey79@gmail.com,594-973-0211,70073 Laura Causeway Apt. 064,Frankfurt,Hesse,5312,Germany,22,Female,Low,New,11-08-2023,2023,August,,9,446.0997908,4014.898117,Electronics,Sony,Smartphone,Bad,Same-Day,Credit Card,Delivered,1.0,Google Pixel
2903315,33385,Lisa Atkins,Joe23@gmail.com,767-035-4722,112 Barnes Path Apt. 754,Frankfurt,Hesse,90094,Germany,28,Female,Low,New,16-09-2023,2023,September,,1,481.5373317,481.5373317,Books,Penguin Books,Children's,Good,Standard,PayPal,Delivered,3.0,Puzzles
3593731,96090,Mark Leonard,Douglas44@gmail.com,911-017-9020,02940 Perez Green,Frankfurt,Hesse,68865,Germany,42,Female,Low,New,04-07-2023,2023,July,,4,229.2022151,916.8088602,Clothing,Nike,T-shirt,Average,Standard,Debit Card,Delivered,2.0,Graphic tee
4385008,18192,Mary Williams,Alan80@gmail.com,448-167-0859,230 Rojas Orchard,Frankfurt,Hesse,20042,Germany,61,Male,Low,New,25-12-2023,2023,December,,4,239.0634587,956.2538348,Electronics,Sony,Headphones,Average,Same-Day,Cash,Delivered,2.0,Wireless headphones
5407825,42927,Michael Lee,Ronald79@gmail.com,648-240-3273,889 Trevor Keys,Frankfurt,Hesse,13874,Germany,42,Male,Low,New,17-05-2023,2023,May,,10,29.41076661,294.1076661,Home Decor,IKEA,Decorations,Bad,Express,PayPal,Delivered,1.0,Candles
6231576,96456,Sandra Herman,Crystal89@gmail.com,291-696-8009,295 Cruz Rest,Frankfurt,Hesse,96601,Germany,53,Male,Low,New,24-12-2023,2023,December,,6,336.2727797,2017.636678,Clothing,Adidas,Jacket,Bad,Same-Day,Debit Card,Delivered,1.0,Windbreaker
2809069,74615,Jose Hall,Chelsea94@gmail.com,283-583-8588,7992 Bennett Shoal,Frankfurt,Hesse,76975,Germany,45,Male,Low,New,28-03-2023,2023,March,,4,346.927472,1387.709888,Electronics,Apple,Laptop,Good,Standard,Cash,Delivered,3.0,LG Gram
1559215,96437,Douglas Moore,Jessica84@gmail.com,963-612-6392,9915 Keith Ridge,Frankfurt,Hesse,29573,Germany,66,Female,Low,New,06-11-2023,2023,November,,7,359.0950685,2513.665479,Books,Penguin Books,Children's,Good,Same-Day,Debit Card,Delivered,4.0,Sports equipment
8938745,67649,Shawn Mcgee,Raymond47@gmail.com,114-053-2750,6817 Ronald Meadow,Frankfurt,Hesse,1248,Germany,67,Male,Low,New,25-10-2023,2023,October,,2,459.9186669,919.8373337,Electronics,Apple,Smartphone,Excellent,Express,Credit Card,Delivered,4.0,Google Pixel
1738216,65506,Jason White,Cynthia52@gmail.com,396-229-3862,185 Wilcox Canyon,Frankfurt,Hesse,29718,Germany,61,Male,Low,New,26-12-2023,2023,December,,10,69.6031185,696.031185,Electronics,Apple,Smartphone,Bad,Express,PayPal,Delivered,1.0,Nokia
3488704,49556,Heather Ellis,Paige22@gmail.com,174-592-8553,15482 Kristin Highway Apt. 516,Frankfurt,Hesse,11357,Germany,53,Male,Low,New,03-04-2023,2023,April,,10,465.5933014,4655.933014,Home Decor,Bed Bath & Beyond,Kitchen,Good,Same-Day,Cash,Delivered,4.0,Blender
2808521,84124,Frances Garrison,Anna65@gmail.com,940-769-4783,935 Caitlyn Shores Apt. 170,Frankfurt,Hesse,59880,Germany,39,Male,Low,New,05-06-2023,2023,June,,10,497.4596745,4974.596745,Electronics,Apple,Smartphone,Average,Standard,Credit Card,Delivered,2.0,Nokia
4946318,49236,Andrea Russell,Mitchell6@gmail.com,726-729-7651,3208 Davidson Plains Apt. 058,Frankfurt,Hesse,13140,Germany,35,Female,Low,New,05-07-2023,2023,July,,1,344.3627466,344.3627466,Books,Penguin Books,Children's,Average,Same-Day,Cash,Delivered,2.0,Educational kits
5592477,39585,David Peters,Brandon21@gmail.com,126-010-4603,81893 Nguyen Mall Suite 538,Frankfurt,Hesse,37297,Germany,20,Male,Low,New,08-06-2023,2023,June,,3,169.02125,507.06375,Home Decor,Bed Bath & Beyond,Bedding,Excellent,Express,Cash,Delivered,5.0,Comforter
9342535,79037,Alexandra Edwards,Meghan55@gmail.com,851-860-7195,6804 Terry Crossroad Apt. 594,Frankfurt,Hesse,37433,Germany,54,Male,Low,New,01-12-2023,2023,December,,8,330.9172287,2647.337829,Grocery,Nestle,Coffee,Excellent,Same-Day,PayPal,Delivered,5.0,Americano
8008864,31654,Jonathan Vance,Timothy47@gmail.com,744-392-2239,1514 Amy Street Suite 128,Frankfurt,Hesse,58417,Germany,19,Female,Low,New,24-01-2024,2024,January,,3,47.92177286,143.7653186,Books,Random House,Non-Fiction,Excellent,Same-Day,Cash,Delivered,5.0,Psychology
1216201,48198,Kevin Gillespie,Karen27@gmail.com,443-069-4763,26602 Malik Stream,Frankfurt,Hesse,73001,Germany,37,Male,Low,New,11-10-2023,2023,October,,7,67.95892856,475.7124999,Grocery,Nestle,Snacks,Bad,Standard,Cash,Delivered,1.0,Chips
1089691,83362,Anita Boyd,Lacey33@gmail.com,510-906-5215,631 Peterson Isle Apt. 919,Frankfurt,Hesse,57841,Germany,49,Female,Low,New,26-05-2023,2023,May,,1,446.4973041,446.4973041,Books,HarperCollins,Thriller,Average,Same-Day,Cash,Delivered,2.0,Psychological thriller
9026344,49910,Betty Maldonado,Kayla30@gmail.com,559-419-3929,954 Garrison Cliffs,Frankfurt,Hesse,86702,Germany,46,Female,Low,New,11-03-2023,2023,March,,3,213.9332846,641.7998539,Clothing,Zara,Shirt,Good,Express,Credit Card,Delivered,4.0,Henley shirt
3732131,27768,Charles Lam,Norma33@gmail.com,922-756-1584,949 Angela Rapid,Frankfurt,Hesse,43420,Germany,44,Male,Low,New,18-08-2023,2023,August,,8,440.1667245,3521.333796,Electronics,Apple,Smartphone,Average,Same-Day,Credit Card,Delivered,2.0,Motorola Moto
4336108,48562,Jeffrey Ruiz,Anna70@gmail.com,133-302-8749,470 Wilson Alley Suite 754,Frankfurt,Hesse,87535,Germany,23,Female,Low,New,17-04-2023,2023,April,,9,346.6018439,3119.416595,Electronics,Apple,Laptop,Good,Same-Day,PayPal,Delivered,4.0,Lenovo ThinkPad
4014601,24821,James Schmidt,Alex44@gmail.com,267-965-0003,543 Katie Park Suite 895,Frankfurt,Hesse,9747,Germany,39,Male,Low,New,25-07-2023,2023,July,,9,203.8501425,1834.651282,Grocery,Coca-Cola,Water,Bad,Express,Cash,Delivered,1.0,Mineral water
1184546,21528,Jennifer Mckee,Joseph55@gmail.com,159-666-0528,172 Anthony Branch,Frankfurt,Hesse,79821,Germany,38,Female,Low,New,20-01-2024,2024,January,,3,162.6915231,488.0745694,Grocery,Coca-Cola,Soft Drink,Good,Standard,Debit Card,Delivered,3.0,Root beer
9474510,29248,Marissa Wright,Michael39@gmail.com,353-566-8678,0411 Ryan Ville Apt. 962,Frankfurt,Hesse,41409,Germany,51,Male,Low,New,25-04-2023,2023,April,,4,452.8646642,1811.458657,Clothing,Nike,Shorts,Bad,Express,PayPal,Delivered,1.0,Cycling shorts
5833071,23136,Madison Morrison,Steve25@gmail.com,784-418-7896,16529 Ramirez Haven,Frankfurt,Hesse,59457,Germany,48,Male,Low,New,14-12-2023,2023,December,,1,226.5450679,226.5450679,Home Decor,Home Depot,Furniture,Good,Standard,PayPal,Delivered,4.0,Sofa
8717006,72105,Andrew Thompson,Jessica58@gmail.com,900-165-9504,84799 Lynch Wall Apt. 174,Frankfurt,Hesse,59426,Germany,29,Male,Low,New,22-03-2023,2023,March,,1,146.2678959,146.2678959,Electronics,Apple,Smartphone,Excellent,Same-Day,PayPal,Delivered,4.0,LG G
3683037,74362,Julian Cantrell,James96@gmail.com,932-135-3229,046 Kim Mountain Apt. 129,Frankfurt,Hesse,39402,Germany,48,Male,Low,New,07-06-2023,2023,June,,1,479.0051732,479.0051732,Clothing,Zara,Dress,Excellent,Standard,PayPal,Delivered,5.0,Sheath dress
3565814,32816,Rebecca Harrison,Robert11@gmail.com,796-305-7756,14024 Emily Expressway,Frankfurt,Hesse,4787,Germany,0,Female,Low,New,16-08-2023,2023,August,,1,84.57257529,84.57257529,Clothing,Nike,Shoes,Good,Same-Day,PayPal,Delivered,4.0,High heels
3932699,39095,Elizabeth Simmons,Isabel23@gmail.com,687-294-5430,28192 Christopher Dam Suite 838,Frankfurt,Hesse,85064,Germany,50,Male,Low,New,12-04-2023,2023,April,,3,272.1840574,816.5521723,Clothing,Zara,Dress,Bad,Express,Credit Card,Delivered,1.0,Casual dress
7284616,22342,Steven Romero,Suzanne96@gmail.com,799-181-2171,0842 Michael Views Apt. 976,Frankfurt,Hesse,65378,Germany,33,Male,Low,New,01-02-2024,2024,February,,10,45.93941695,459.3941695,Electronics,Sony,Smartphone,Excellent,Same-Day,Debit Card,Delivered,4.0,Sony Xperia
6356248,50799,Richard Gonzalez,Vicki56@gmail.com,825-599-1163,3667 Susan Fords,Frankfurt,Hesse,1185,Germany,37,Male,Low,New,23-03-2023,2023,March,,8,18.42816078,147.4252863,Clothing,Zara,Jeans,Average,Standard,Debit Card,Delivered,2.0,Boyfriend jeans
7498346,19087,Brooke Murray,Lucas20@gmail.com,262-891-9961,6694 Patricia Trafficway,Frankfurt,Hesse,87449,Germany,35,Male,Low,New,04-03-2023,2023,March,,9,397.4854871,3577.369384,Clothing,Nike,Shorts,Bad,Standard,PayPal,Delivered,1.0,Khaki shorts
4113569,64515,Jennifer Sanders,John75@gmail.com,405-503-7149,35839 Johnson Station Suite 240,Frankfurt,Hesse,91289,Germany,45,Female,Low,New,22-03-2023,2023,March,,6,182.1076042,1092.645625,Home Decor,IKEA,Decorations,Excellent,Same-Day,Credit Card,Delivered,4.0,Picture frames
5874491,23918,Christian Smith,Nicholas83@gmail.com,567-615-4964,73832 Mark Roads Suite 731,Frankfurt,Hesse,16927,Germany,67,Female,Low,New,03-09-2023,2023,September,,8,349.4172723,2795.338178,Grocery,Pepsi,Soft Drink,Good,Standard,Cash,Delivered,4.0,Cola
7901044,45902,Ian Burns,Debra24@gmail.com,978-635-4932,0104 Bethany Field Suite 199,Frankfurt,Hesse,89879,Germany,63,Male,Low,New,01-09-2023,2023,September,,9,156.3974955,1407.57746,Electronics,Samsung,Smartphone,Bad,Express,Cash,Delivered,1.0,Nokia
6500536,79849,Ashley King,Mark2@gmail.com,355-413-2609,40282 Edward Wall Apt. 405,Frankfurt,Hesse,41827,Germany,56,Female,Low,New,06-12-2023,2023,December,,6,461.3220033,2767.93202,Home Decor,Home Depot,Decorations,Good,Express,Debit Card,Delivered,3.0,Sculptures
1245709,89058,Stephen Ayala,Hannah44@gmail.com,614-570-6530,9158 Good Alley Suite 707,Frankfurt,Hesse,48138,Germany,36,Male,Low,New,11-09-2023,2023,September,,8,300.7096256,2405.677005,Books,Penguin Books,Non-Fiction,Excellent,Same-Day,Cash,Delivered,5.0,Cooking
7474764,79016,Mathew Harper,Tiffany74@gmail.com,416-200-0503,687 Laurie Mall,Frankfurt,Hesse,42914,Germany,60,Male,Low,New,30-11-2023,2023,November,,10,378.6220573,3786.220573,Electronics,Apple,Laptop,Bad,Same-Day,Credit Card,Delivered,1.0,HP Spectre
6609537,53444,Joe Ayers,Maria42@gmail.com,275-318-2866,8121 Davis Highway,Frankfurt,Hesse,37232,Germany,54,Female,Low,New,21-10-2023,2023,October,,10,421.3086132,4213.086132,Electronics,Samsung,Smartphone,Good,Same-Day,Debit Card,Delivered,3.0,OnePlus
